Car,MPG,Cylinders,Displacement,Horsepower,Weight,Acceleration,Model,Origin,lat,long
Chevrolet Chevelle Malibu,18,8,307,130,3504,12,70,US,34.395958,-119.521042
Buick Skylark 320,15,8,350,165,3693,11.5,70,US,27.798244,-82.798462
Plymouth Satellite,18,8,318,150,3436,11,70,US,40.745255,-74.034775
AMC Rebel SST,16,8,304,150,3433,12,70,US,34.155834,-119.202789
Ford Torino,17,8,302,140,3449,10.5,70,US,42.933334,-76.566666
Ford Galaxie 500,15,8,429,198,4341,10,70,US,42.095554,-79.238609
Chevrolet Impala,14,8,454,220,4354,9,70,US,38.846668,-91.948059
Plymouth Fury iii,14,8,440,215,4312,8.5,70,US,41.392502,-81.534447
Pontiac Catalina,14,8,455,225,4425,10,70,US,27.192223,-80.243057
AMC Ambassador DPL,15,8,390,190,3850,8.5,70,US,31.442778,-100.450279
Citroen DS-21 Pallas,0,4,133,115,3090,17.5,70,Europe,50.503887,4.469936
Chevrolet Chevelle Concours (sw),0,8,350,165,4142,11.5,70,US,41.543056,-90.590836
Ford Torino (sw),0,8,351,153,4034,11,70,US,39.554443,-119.735558
Plymouth Satellite (sw),0,8,383,175,4166,10.5,70,US,44.513332,-88.015831
AMC Rebel SST (sw),0,8,360,175,3850,11,70,US,37.554169,-122.313057
Dodge Challenger SE,15,8,383,170,3563,10,70,US,32.349998,-95.300003
Plymouth 'Cuda 340,14,8,340,160,3609,8,70,US,29.499722,-95.089722
Ford Mustang Boss 302,0,8,302,140,3353,8,70,US,33.038334,-97.006111
Chevrolet Monte Carlo,15,8,400,150,3761,9.5,70,US,43.614166,-116.398888
Buick Estate Wagon (sw),14,8,455,225,3086,10,70,US,41.55611,-73.041389
Toyota Corolla Mark ii,24,4,113,95,2372,15,70,Japan,34.689999,135.195557
Plymouth Duster,22,6,198,95,2833,15.5,70,US,39.903057,-104.954445
AMC Hornet,18,6,199,97,2774,15.5,70,US,25.978889,-80.282501
Ford Maverick,21,6,200,85,2587,16,70,US,35.846111,-86.391945
Datsun PL510,27,4,97,88,2130,14.5,70,Japan,35.011665,135.768326
Volkswagen 1131 Deluxe Sedan,26,4,97,46,1835,20.5,70,Europe,53.41291,-8.24389
Peugeot 504,25,4,110,87,2672,17.5,70,Europe,50.503887,4.469936
Audi 100 LS,24,4,107,90,2430,14.5,70,Europe,41.87194,12.56738
Saab 99e,25,4,104,95,2375,17.5,70,Europe,39.399872,-8.224454
